# Auto-generated extended batch A; deduped against existing asset wordlists.
# Do not duplicate lines across files; loader uses distinct() per pinyin key.
guangdongsheng 广东省
daoshi 导师
shiyan 实验
huaxue 化学
wuli 物理
shengwu 生物
shuxue 数学
yingyu 英语
yuwen 语文
tiyuke 体育课
jisuanji 计算机
biancheng 编程
suanfa 算法
caozuoxitong 操作系统
shujuku 数据库
biyelunwen 毕业论文
kaoyan 考研
chuguoliuxue 出国留学
xinzhang 心脏
feibu 肺部
ganzang 肝脏
pizang 脾脏
shenzang 肾脏
weichang 胃肠
changwei 肠胃
jingzhui 颈椎
yaozhui 腰椎
xiguanjie 膝关节
xietang 血糖
gaoxueya 高血压
tangniaobing 糖尿病
liubiti 流鼻涕
huxikunnan 呼吸困难
xiongtong 胸痛
futong 腹痛
touyun 头晕
outu 呕吐
fuxie 腹泻
bianmi 便秘
guomin 过敏
xiaochuan 哮喘
feiyan 肺炎
zhongliu 肿瘤
shoushu 手术
jizhen 急诊
tijian 体检
zhushe 注射
shuuye 输液
xiaodu 消毒
geli 隔离
houzi 猴子
xiongmao 熊猫
laohu 老虎
shizi 狮子
daxiang 大象
changjinglu 长颈鹿
songshu 松鼠
meigui 玫瑰
baihe 百合
zhuzi 竹子
xiaomai 小麦
huasheng 花生
senlin 森林
hupo 湖泊
heliu 河流
shamo 沙漠
caoyuan 草原
shandi 山地
pingyuan 平原
jiangwen 降温
shengwen 升温
longjuanfeng 龙卷风
taifeng 台风
baoyu 暴雨
dafeng 大风
daoxue 大雪
leidian 雷电
dongche 动车
changtuqiche 长途汽车
gongjiao 公交
zijia 自驾
dengji 登机
tuoji 托运
zhongzhuan 中转
duoche 堵车
xiudao 匝道
lukuang 路况
jianzou 健走
qixing 骑行
taijiquan 太极拳
aoyunhui 奥运会
shijiebei 世界杯
yinyuehui 音乐会
juqing 剧情
yanji 演技
daoyan 导演
zhuyan 主演
jiaoshi 教师
lvshi 律师
kuaiji 会计
gongchengshi 工程师
chengxuyuan 程序员
xiaoshou 销售
wuye 物业
qingjie 保洁
guangchang 广场
matou 码头
menka 门卡
shujuixian 数据线
chazuozuo 插座
dengpao 灯泡
yugang 浴缸
diancilu 电磁炉
chuangdian 床垫
zhenzi 枕头
yifu 衣服
haoao 好嗷
bieji 别急
youkong 有空
deikong 得空
xiaci 下次
huijian 回见
zaihui 再会
baibai 拜拜
buqi 不客气
bangwo 帮我
haishi 还是
yaobuyao 要不要
yaode 要的
xingbusxing 行不行
keyiba 可以吧
haokeyi 好可以
zhenhao 真好
taicanle 太惨了
taihaole 太好了
lihaile 厉害了
duode 多得
shaode 少得
yiwan 一万
shiwan 十万
baiwan 百万
qianwan 千万
renminbi 人民币
gangyuan 港元
meiyuan 美元
ouyuan 欧元
riyuan 日元
gongli 公里
limi 厘米
haomi 毫米
pingfangmi 平方米
lifangmi 立方米
qianke 千克
gongjin 公斤
sheshidu 摄氏度
miaozhong 秒钟
xingqiri 星期日
xingqiyi 星期一
xingqier 星期二
xingqisan 星期三
xingqisi 星期四
xingqiwu 星期五
xingqiliu 星期六
hanlujie 寒衣节
li 锂
pi 铍
ya 氩
kang 钪
tai 钛
xiu 溴
xian 氙
paichusuo 派出所
minjing 民警
xiaofangyuan 消防员
shebaoju 社保局
jiaoyuju 教育局
weishengju 卫生局
zhujianju 住建局
shuiwuju 税务局
shouxuji 手机壳
pingbandiannao 平板电脑
xianshika 显卡
wangka 网卡
maikefeng 麦克风
wendangjia 文件夹
shujufenxi 数据分析
dashuju 大数据
renkongzhineng 人工智能
shenduxuexi 深度学习
jiqixuexi 机器学习
yunfuwu 云服务
gongyouyun 公有云
siyouyun 私有云
qukuailian 区块链
xunixianshi 虚拟现实
zengqiangxianshi 增强现实
zhibojian 直播间
daihuo 带货
baokuan 爆款
banbenhao 版本号
fuwuqi 服务器
duankou 端口
renzheng 认证
shouquan 授权
yunweigongchengshi 运维工程师
chanpinjingli 产品经理
kehujingli 客户经理
xiangmujingli 项目经理
yuangong 员工
laodonghetong 劳动合同
kaoqin 考勤
huiyishi 会议室
neike 内科
waike 外科
erke 儿科
fuke 妇科
chanke 产科
yanke 眼科
erbihouke 耳鼻喉科
pifuke 皮肤科
guke 骨科
shenjingke 神经科
xinneike 心内科
xinwaike 心外科
xiaohuaneike 消化内科
huxineike 呼吸内科
zhongliuke 肿瘤科
mazuike 麻醉科
fangshexianke 放射科
chaoshengke 超声科
binglike 病理科
jianyanke 检验科
yaofang 药房
zhuyuanbu 住院部
menzhenbu 门诊部
jizhenke 急诊科
bingchuang 病床
huoshi 护士站
tuoye 退热
zhitong 止痛
xiaoyan 消炎
zhike 止咳
huatan 化痰
jiangya 降压
jiangtang 降糖
zhusheye 注射液
koufuyao 口服药
waiyong 外用
guominshi 过敏史
binglihao 病历号
jiuzhenka 就诊卡
guahaofei 挂号费
menzhenfei 门诊费
zhuyuanfei 住院费
shoushufei 手术费
jianchafei 检查费
huayan 化验
paichao 拍片
ctjiancha CT检查
hecigongzhen 核磁共振
chaosheng 超声
xindiantu 心电图
bingligaoshi 病理报告
zhuanke 转科
zhuanzhen 转诊
huiyi 会诊
quanma 全麻
banma 半麻
fengzhen 缝合
fucha 复查
suifang 随访
baojianpin 保健品
gaoxuezhi 高血脂
gaoniaosuan 高尿酸
tongfeng 痛风
jiazhuangxian 甲状腺
jiazhuangxiangongneng 甲状腺功能
guanxinbing 冠心病
naoxueshuan 脑血栓
naochuxue 脑出血
zhongfeng 中风
chanhou 产后
yunjian 孕检
chanjian 产检
minfadian 民法典
xingfa 刑法
xingsusongfa 刑事诉讼法
minsusongfa 民事诉讼法
xingzhengsusongfa 行政诉讼法
gongsifa 公司法
shuifa 税法
zhishichanquan 知识产权
zhuanli 专利
shangbiao 商标
banquan 版权
shangyejimi 商业秘密
xieyi 协议
heyue 合约
weiyue 违约
peichang 赔偿
hejie 和解
tiaojie 调解
zhongcai 仲裁
gaozhuang 告状
yuangao 原告
dalishi 大律师
faquan 法权
renquan 人权
yichan 遗产
jicheng 继承
yizhu 遗嘱
fuyang 抚养
qiangzhizhixing 强制执行
panjue 判决
caiding 裁定
weifaxingwei 违法行为
weifajingying 违法经营
juliu 拘留
xingjing 刑警
wangjing 网警
zhian 治安
paichusuo 所长
jiazhanghui 家长会
banzhuren 班主任
kebiao 课表
zuoyehen 作业本
shiyanbao 实验报告
kaoshijuan 考试卷
manfen 满分
jige 及格
bujige 不及格
liujia 留级
tiaoji 跳级
baoyan 保研
kaobo 考博
zhuanke 专科
benkesheng 本科生
shuoshisheng 硕士生
boshi 博士生
bochihou 博士后
shuxueke 数学课
yingyuke 英语课
yuwenke 语文课
wulike 物理课
huaxueke 化学课
shengwuke 生物课
lishike 历史课
dilike 地理课
meishuke 美术课
yinyueke 音乐课
xinxike 信息课
xuanxiuke 选修课
bixiuke 必修课
tongyongke 通识课
qimokaoshi 期末考试
qizhongkaoshi 期中考试
suitangceyan 随堂测验
zuoyejiancha 作业检查
hanjia 寒假
shujia 暑假
kejian 课间
zaodu 早读
wanzixi 晚自习
shitang 食堂
sushe 宿舍
xiaomen 校门
jiaoshi 教室
touyingyi 投影仪
jiaocai 教材
jiaofei 教辅
xiaoke 小课
daoke 大课
zhongzi 种子
huafei 化肥
nongyao 农药
chucao 除草
guangai 灌溉
shouge 收割
bozhong 播种
chulan 出栏
siliao 饲料
muji 母鸡
gongji 公鸡
zhuzai 猪仔
niudu 牛犊
yanggao 羊羔
mianhua 棉花
chaye 茶叶
sangye 桑叶
yangfeng 养蜂
yutang 鱼塘
yangzhi 养殖
diaoyu 钓鱼
buke 补课
tuoguan 托管
tuoxiao 滞销
jiaqin 家禽
jiaxu 家畜
tuona 拖沓
tuola 拖拉
tuoxie 妥协
tuoxiao 脱销
saodi 扫地
cawan 擦碗
shaiyifu 晒衣服
zhunbeifan 准备饭
youyanji 油烟机
dianfanguo 电饭锅
yaoshui 药水
zhenjiu 针灸
tuina 推拿
anmo 按摩
guasha 刮痧
baohuo 拔火罐
zengfei 增肥
bumanyi 不满意
youyu 犹豫
toulan 偷懒
tuoyan 拖延
kuanggong 旷工
jinji 晋级
jiangji 降级
tisheng 提升
xiajiang 下降
tianjing 田径
ticao 体操
juzhong 举重
sheji 射击
shejian 射箭
jijian 击剑
mashu 马术
malasong 马拉松
sinuoke 斯诺克
bangqiu 棒球
qugun 曲棍球
bingqiu 冰球
huaban 滑板
lunhua 轮滑
jiqirensai 机器人赛
aolinpike 奥林匹克
yazhoubei 亚洲杯
jiaolian 教练
duiyuan 队员
duizhang 队长
tibu 替补
canjia 参赛
baguazhang 八卦掌
xingyiquan 形意拳
yumao 羽毛
wangpai 网拍
qiupai 球拍
chuancai 川菜
huaiyangcai 淮扬菜
dongbei 东北菜
xican 西餐
rihanliao 日韩料理
chuanchuan 串串
xiaolongbao 小笼包
chaofan 炒饭
tanmian 汤面
lamian 拉面
choudoufu 臭豆腐
tangcu 糖醋
hongshao 红烧
qingzheng 清蒸
ganbian 干煸
liangban 凉拌
men 焖
chaoshui 焯水
guoyou 过油
gouqian 勾芡
salajiang 沙拉酱
huangdoujiang 黄豆酱
tianmianjiang 甜面酱
doubanjiang 豆瓣酱
haoyou 蚝油
shengchou 生抽
laochou 老抽
liaojiu 料酒
weijing 味精
jijing 鸡精
gui 桂皮
rougui 肉桂
dingxiang 丁香
xiaohuixiang 小茴香
xiangcai 香菜
xiaomila 小米辣
heye 荷叶
qisuzhuang 起诉状
dabianzhuang 答辩状
shangsuzhuang 上诉状
shenqingshu 申请书
shouquanweituo 授权委托
weituoshu 委托书
shouquanshu 授权书
lvshihan 律师函
gongzhengshu 公证书
hedingshu 核定书
jianzhenggao 见证书
xieyishu 协议书
hejieshu 和解书
minshianjian 民事案件
xingshianjian 刑事案件
xingzhenganjian 行政案件
minjianjiedai 民间借贷
laodongzhengyi 劳动争议
jiaotongshigu 交通事故
chanquanjiufen 产权纠纷
panjueshu 判决书
caidingshu 裁定书
tiaojieshu 调解书
budongchan 不动产
maopi 毛坯
jingzhuang 精装
jiazhuang 家装
gongtan 公摊
rongjilv 容积率
taoneimianji 套内面积
jianzhumianji 建筑面积
ershoufang 二手房
xinfang 新房
zulin 租赁
yezhu 业主
yezhuweiyuanhui 业主委员会
zhipian 制片
shexiang 摄像
houqi 后期
shaji 杀青
luyan 路演
shouying 首映
piaofang 票房
duanju 短剧
wangju 网剧
weidianying 微电影
peiyue 配乐
zuoci 作词
zuoyue 作曲
bianqu 编曲
luyin 录音
pengpai 棚拍
yanchanghui 演唱会
yinyuejie 音乐节
yinyueju 音乐剧
xiqu 戏曲
jingju 京剧
yueju 越剧
huangmeixi 黄梅戏
erhu 二胡
pipa 琵琶
guzheng 古筝
gangqin 钢琴
xiaotiqin 小提琴
qianhouduan 前后端
qianduan 前端
houduan 后端
quanzhan 全栈
jiekou 接口
huidiao 回调
bingfa 并发
yibu 异步
tongbu 同步
huancun 缓存
jiqun 集群
weifuwu 微服务
rongqi 容器
bianyi 编译
jiazai 加载
bushu 部署
huixian 回滚
rizhi 日志
jiankong 监控
gaojing 告警
wumai 雾霾
meiyu 梅雨
hanchao 寒潮
qiangduiliu 强对流
baoxue 暴雪
gaowen 高温
dihan 低温
ganhan 干旱
nidai 逆温
zhenyu 阵雨
leiyu 雷雨
bingbao 冰雹
shachen 沙尘
yangchen 扬尘
dimao 地貌
yanjiang 岩浆
haiwan 海湾
caodi 草地
shidi 湿地
hongshu 红树
zhaozexi 沼泽地
weixing 卫星
hangtian 航天
feichuan 飞船
yunzaihuojian 运载火箭
huojian 火箭
fazai 发射
kongjianzhan 空间站
hangtianyuan 航天员
guaidao 轨道
tuokun 脱困
duijie 对接
fanhui 返回
ceshi 测控
daohang 导航
beidou 北斗
gps GPS
gupiao 股票
jijin 基金
zhaiquan 债券
qiquan 期权
qihuo 期货
baozhengjin 保证金
baocang 爆仓
rongduan 熔断
dieting 跌停
zhangting 涨停
kaipan 开盘
shoupan 收盘
yangxian 阳线
yinxian 阴线
fenhong 分红
peigu 配股
zengfa 增发
xunihuobi 虚拟货币
xinyongka 信用卡
jiebei 借呗
huabei 花呗
nixi 逆势
yiyu 抑郁
jiaolv 焦虑
qiangpozheng 强迫症
shekong 社恐
neijuan 内卷
tangping 躺平
emo emo
xintai 心态
xinli 心理
zixun 咨询
shudao 疏导
guaji 挂机
kaigua 开挂
zudui 组队
fuben 副本
paiwei 排位
duanwei 段位
shouyou 手游
diuzhen 丢帧
kuaimen 快门
baoguang 曝光
duijiao 对焦
xuhua 虚化
niguang 逆光
shunguang 顺光
baipingheng 白平衡
lvjing 滤镜
texiao 特效
chunmian 纯棉
mianma 棉麻
dilun 涤纶
yangrong 羊绒
yangmao 羊毛
zhensi 真丝
mianliao 面料
xiushen 修身
kuansong 宽松
heshen 合身
shouchi 尺码
xiukou 袖口
lingkou 领口
youshang 右上
zuoshang 左上
youxia 右下
zuoxia 左下
qizhongji 起重机
taji 塔吊
waji 挖机
chanche 铲车
jiaobanji 搅拌机
puluji 铺路机
yaluji 压路机
dianhan 电焊
qiege 切割
hanjie 焊接
zhuangpei 装配
maogu 锚固
zhijia 支架
moju 模具
zhoucheng 轴承
chilun 齿轮
chuandong 传动
jianxiu 检修
duangou 盾构
guandao 管道
fenguan 分管
fangshuiceng 防水层
dinuan 地暖
qiqiang 砌墙
guanjiang 灌浆
jungong 竣工
kaigong 开工
fangxian 放线
haiyun 海运
jiaban 甲板
chuanshi 船体
yuanyang 远洋
buhuo 捕捞
yuye 渔业
shuichan 水产
haixiao 海啸
chaoxi 潮汐
taoqi 陶器
qingtongqi 青铜器
ciqi 瓷器
muzhiming 墓志铭
meishuguan 美术馆
wenwu 文物
cezhan 策展
zhanlan 展览
jiangjieyuan 讲解员
canguanzhe 参观者
menpiao 门票
daolan 导览
yeshu 压岁钱
nianyefan 年夜饭
baonian 拜年
chunlian 春联
fuchun 福字
denglong 灯笼
yanhua 烟花
bianpao 鞭炮
longzhou 龙舟
dengmi 灯谜
tangyuan 汤圆
yuanxiao 元宵
zaotang 澡堂
xichen 洗牙
baya 拔牙
zhuya 蛀牙
zhongya 种牙
jiaoya 矫牙
jieya 洁牙
jiemoyan 结膜炎
jinshi 近视
yuanshi 远视
sanguang 散光
seming 色盲
yinxingyanjing 隐形眼镜
zhongeryan 中耳炎
waieryan 外耳炎
bidouyan 鼻窦炎
houlong 喉咙
sangzi 嗓子
luoluo 绿萝
junzilan 君子兰
diaolan 吊兰
xianrenzhang 仙人掌
duorouzhiwu 多肉植物
zhizi 栀子
molihua 茉莉花
xique 喜鹊
maque 麻雀
zhiliao 知了
xishuai 蟋蟀
yinghuochong 萤火虫
lanshou 揽收
jijian 寄件
paisong 派送
zhongzhuanzhan 中转站
fenjian 分拣
cixiu 刺绣
jingtailan 景泰蓝
zhubian 竹编
mudiao 木雕
zhuanke 篆刻
taoyi 陶艺
qiqi 漆器
tangsancai 唐三彩
piyingxi 皮影戏
lianpu 脸谱
longjingcha 龙井茶
puercha 普洱茶
baihaoyinzhen 白毫银针
huacha 花茶
juhuacha 菊花茶
zhaiyao 摘要
guanjianci 关键词
cankaowenxian 参考文献
yinyan 引言
zhixie 致谢
futu 附图
tubiao 图表
xumu 序言
shengou 审稿
jiaodui 校对
paiban 排版
faxingliang 发行量
zhuanfang 专访
xinwengao 新闻稿
shelun 社论
zhangpeng 帐篷
fangchaodian 防潮垫
dengshanzhang 登山杖
chongfengyi 冲锋衣
baowenbei 保温杯
zhinanzhen 指南针
shuidai 睡袋
tongxingzheng 通行证
ziniaoku 纸尿裤
naiping 奶瓶
naifen 奶粉
fushi 辅食
weilan 围栏
anquanzuoyi 安全座椅
taixin 胎心
yunfu 孕妇
zuoyue 月嫂
yuer 育儿
peihu 陪护
jiatingyisheng 家庭医生
jinglaoyuan 敬老院
yanglaoyuan 养老院
liaoyangyuan 疗养院
lunyi 轮椅
guaizhang 拐杖
meikuang 煤矿
kuangjing 矿井
kuangnan 矿难
shatang 塌方
anjian 安监
huodian 火电
shuidian 水电
fengdian 风电
guangfu 光伏
guangfudian 光伏电站
shuibeng 水泵
bianyaqi 变压器
peidian 配电
shudianxian 输电线
digui 递归
bianli 遍历
hashi 哈希
liebiao 链表
duilie 队列
erchashu 二叉树
hongheishu 红黑树
pinghengshu 平衡树
tulun 图论
dongtaiguihua 动态规划
tanxin 贪心
paixu 排序
sakesi 萨克斯
hechang 合唱
duzou 独奏
xiezou 协奏曲
jiaoxiangqu 交响曲
pailian 排练
hezou 合奏
yinyueting 音乐厅
juyuan 剧院
wutai 舞台
mubu 幕布
guangshu 光束
huatong 话筒
fotang 佛堂
qingzhensi 清真寺
daoguan 道观
miaohui 庙会
xianghuo 香火
xuyuan 许愿
qifu 祈福
taifengyujing 台风预警
baoyuyujing 暴雨预警
hanchaoyujing 寒潮预警
dawuyujing 大雾预警
gaowenyujing 高温预警
dafengyujing 大风预警
kongqiwuran 空气污染
zhishu 指数
zifuchuan 字符串
zhengshu 整数
fudianshu 浮点数
buerlei 布尔型
yichang 异常
xiancheng 线程
jinchengsuo 进程锁
sisuo 死锁
xinghao 信号量
huchi 互斥
xiwanji 洗碗机
xiaodugui 消毒柜
pobiji 破壁机
dianshibao 电饭煲
yunwu 云雾
daiyu 带鱼
shanbei 扇贝
haosheng 生蚝
duixia 对虾
longxia 龙虾
yuxia 鱼虾
xiapi 虾皮
shupian 薯片
guodong 果冻
tanghulu 糖葫芦
binggun 冰棍
naichafen 奶茶粉
qipaoshui 气泡水
suannaiyinliao 酸奶饮料
hongniu 红牛
xuni 虚拟
huiyijiyao 会议纪要
qingjiatiao 请假条
tongzhigonggao 通知公告
hongtouwenjian 红头文件
shenpidan 审批单
liuzhuan 流转
guizhang 规章
kaohe 考核
pingfen 评分
chidao 赤道
jingxian 经线
weixian 纬线
jingweidu 经纬度
haiba 海拔
penqi 盆地
qiuling 丘陵
dongtu 冻土
huoshan 火山
yanrong 岩溶
kasite 喀斯特
hongxi 虹吸
xingxing 行星
liuxing 流星
yunshi 陨石
shexian 射线
yinli 引力
jubingxi 聚丙烯
jubingxisuliao 聚丙烯塑料
buxiugang 不锈钢
lvhejin 铝合金
tonghejin 铜合金
ganghuaboli 钢化玻璃
youqi 油漆
tuliao 涂料
fangshuijiang 防水胶
shuzhi 树脂
xiangjiao 橡胶
kaiben 开本
jingzhuangben 精装本
pingzhuangben 平装本
banquanye 版权页
kanwubiao 勘误表
mulu 目录
duzhe 读者
bianji 编辑
meishubianji 美术编辑
yanxi 演习
jianyue 检阅
fangzhen 方阵
micaifu 迷彩服
junxun 军训
chulanlv 出栏率
fangyi 防疫
jianyi 检疫
feizhouzhuwen 非洲猪瘟
koutiyiyimiao 口蹄疫疫苗
shouyi 兽医
muyangquan 牧羊犬
feicui 翡翠
hetianyu 和田玉
manao 玛瑙
zhenzhu 珍珠
mobao 墨宝
bojin 铂金
zuanshi 钻石
yinshi 银饰
jinshi 金饰
yangwoqizuo 仰卧起坐
fuwocheng 俯卧撑
shendun 深蹲
lashen 拉伸
reshen 热身
manpao 慢跑
kuaizou 快走
taiji 太极
qigong 气功
mangdao 盲道
lunyipodao 轮椅坡道
wuzhangai 无障碍
yuyintishi 语音提示
mangwen 盲文
shouyu 手语
biandianzhan 变电站
peidiangui 配电柜
kaiguanxiang 开关箱
loudianbaohu 漏电保护
duanlu 短路
guozai 过载
jiebang 接地
jiezhuang 接地桩
diyadian 低压电
gaoyadian 高压电
paiwukou 排污口
wushuichulichang 污水处理厂
zhongshuichuli 中水处理
lajifenlei 垃圾分类
kehuishouwu 可回收物
youhailaji 有害垃圾
chuyulaji 厨余垃圾
canchulaji 餐厨垃圾
jiangzao 降噪
houcheshi 候车室
jianpiaokou 检票口
anjianmen 安检门
dengjipai 登机牌
xinglizhuanpan 行李转盘
hangbanyanwu 航班延误
chaozai 超载
qushenbao 取保候审
huanxing 缓刑
jiaoshi 假释
falvyuanzhu 法律援助
xijiejing 洗洁精
majin 抹布
xishouye 洗手液
chushiji 除湿机
kongqijinghuaqi 空气净化器
yachong 蚜虫
hongzhizhu 红蜘蛛
baifenbing 白粉病
genfubing 根腐病
xiubing 锈病
yebanbing 叶斑病
kaishu 楷书
xingshu 行书
caoshu 草书
lishu 隶书
zhuanshu 篆书
shuimohua 水墨画
youhua 油画
youhuabang 油画棒
sumiao 素描
suxie 速写
xiesheng 写生
gongqing 公顷
haosheng 毫升
qianwashi 千瓦时
duliangheng 度量衡
biaozhun 标准品
yangpin 样品
shiyanpin 试验品
haibao 海豹
haitun 海豚
jingyu 鲸鱼
shayu 鲨鱼
shuimu 水母
haima 海马
zhangyu 章鱼
haigui 海龟
shanhu 珊瑚
shanhujiao 珊瑚礁
sandazhou 三角洲
qundao 群岛
haixia 海峡
xiagu 峡谷
caodi 草甸
dujiangyan 都江堰
sanxia 三峡
hongshui 洪水
nishiliu 泥石流
shantihuapo 山体滑坡
meishi 美式
natie 拿铁
kabuqinuo 卡布奇诺
moka 摩卡
nongsuo 浓缩
yanmainai 燕麦奶
doujiangfen 豆浆粉
lietou 猎头
shiyongqi 试用期
zhuanzheng 转正
shuzhi 述职
fanpan 复盘
duiqi 对齐
guankong 管控
okr OKR
kpi KPI
renshi 人事
xingzheng 行政
chucha 出差
huikuan 汇款
zhuanzhang 转账
jieliu 节流
fangdou 防抖
lanjie 拦截
zhongjian 中间件
xingneng 性能
youhua 优化
shoulun 首轮
zhenzai 赈灾
juanzeng 募捐
binansuo 避难所
jiuyuandui 救援队
hongshizihui 红十字会
zhiyuanzhe 志愿者
yiwugong 义工
zhutingqi 助听器
mangzhang 盲杖
fushou 扶手
shengdanjingmochou 生旦净末丑
wusheng 武生
qingyi 青衣
hualian 花脸
xiaosheng 小生
laosheng 老生
huadan 花旦
choujue 丑角
jingjue 净角
xiangqi 象棋
weiqi 围棋
tiaoqi 跳棋
wuziqi 五子棋
guoxiangqi 国际象棋
doudizhu 斗地主
guandan 掼蛋
majiang 麻将
paodekuai 跑得快
aihangxing 矮行星
liuxingyu 流星雨
xingji 星际
changhe 长河
sunmao 榫卯
paozi 刨子
juzi 锯子
heye 合页
jiaolian 铰链
mensuo 门锁
menshuan 门闩
lasi 拉丝
fangzhi 纺织
yinran 印染
piaobai 漂白
tuise 褪色
ranliao 染料
buliao 布料
fangsha 纺纱
gaiqian 改签
tuipiao 退票
houbu 候补
tingyun 停运
chaoyuan 超员
manzai 满载
kongwei 空位
quchong 驱虫
quchongyao 驱虫药
yimiaoben 疫苗本
jiezhongjilu 接种记录
jueyu 绝育
jiezha 结扎
goulang 狗粮
maoliang 猫粮
guadang 挂单
zhushi 主食
xiaolingshi 小零食
longmao 龙猫
cangshu 仓鼠
yiwubohui 予以驳回
fushen 复审
wuxiaoxuangao 无效宣告
zantong 赞同
fanyi 翻译
quanliyaoqiu 权利要求
kunqu 昆曲
yuju 豫剧
pingju 评剧
qinqiang 秦腔
lvju 吕剧
chuanju 川剧
erhuang 二黄
xipi 西皮
changqiang 唱腔
xingtou 行头
banqiang 板腔
jingyundagu 京韵大鼓
xiangxing 相声
pingshu 评书
kuaban 快板
zhubo 主播
danmu 弹幕
huifu 回复
zhuye 主页
jianzhi 兼职
qianzheng 签证
huzhao 护照
jipiao 机票
gongzheng 公证
yangqin 扬琴
